#IRI                                               ,                                                           sha256
http://sweetontology.net/phenOceanDynamics         , 17e5ab2469182a38e48e5966cced06242f624c3a211d0ab557c02df96a3291f0
http://sweetontology.net/phenPlanetClimate         , c952808b7d28ebf0d16342fbeb7a005820984b9e74bd5ab55892ed2405fb31a6
http://sweetontology.net/phenReaction              , a059442e83166ebb8967d9448c8a96fe72605880429081eb6b471d4b81746079
http://sweetontology.net/phenSolid                 , ae9741dd0f56106ca0e4673c4e28801939e126a70f709dd7e754516c8a473723
http://sweetontology.net/phenStar                  , 2c5c6d91038d64baeabc900e703be3ffb3908aeaf854b4c15a51818e38d45bfd
http://sweetontology.net/phenSystem                , 3cd6c785679bfe5714ff8fd83b0dc1eb837d1305f3490f3afe1cee38395222e9
http://sweetontology.net/phenSystemComplexity      , 9aecceeee7fedb2070c67e3dc8ece2ac9d613aeb8243aebcbd69183b48d067a1
http://sweetontology.net/phenWave                  , 830ec2e761c00d8a8422534ba135f7a2c986cd366475f87714d24e09f72a37cd
http://sweetontology.net/phenWaveNoise             , 6a539a5e6230843ce61ce5ad4cb30cdfbc90f1fc28d7e9bb5208d7324f9dfda8
http://sweetontology.net/proc                      , b561050e13cf6c4d96676a4c79c437be0cf84afa7adc2be9f8146f7da3d5b189
http://sweetontology.net/procChemical              , 992172d68e1aa41b357be7af848afa648685b01309411cd50379142a2e88c583
http://sweetontology.net/procPhysical              , 259d4d44ac46865aa0c1d4a7ea0ff402e6be388a309f02511fc6d43e4a12cc46
http://sweetontology.net/procStateChange           , 4e48dcec3beebb3cf5cd914884e0dc1552f457390e8b0f3ae1ba224658516257
http://sweetontology.net/procWave                  , 66343ca684cbd59f3795af58db762ea034b73c3a1beebe2457ca776054b84f4b
http://sweetontology.net/prop                      , 15b4f8de2cf21c8ef5d0980b231a486600cad40dfc6f43ada1efaae3b0e5a2ff
http://sweetontology.net/propBinary                , 3f21012720a1ab0bf503e068f1fad732f72fadb416a3bd8ed9967fdb86733219
http://sweetontology.net/propCapacity              , 2b83069f3d87282542a2ef55288ce0ebfa15f3d7a73c38e1fd93fe6c57a2165a
http://sweetontology.net/propCategorical           , 7d01f63895dc4080a9e95f1a6fd43bf60c087bbc21ba5f817405e1f50d094f92
http://sweetontology.net/propCharge                , dcffce6fdd6fd4a94ef9d37d0f9123e6caf760e948962ca59a612cfc68ce031d
http://sweetontology.net/propChemical              , 4326c0877e5a89c414874d652b0132b27bbccc3c4754f887be2348913de9b54e
http://sweetontology.net/propConductivity          , 2833d783524f8fdbc1970009e7b4e195e4d538c1ec68fd14eab7f1ba338aa21c
http://sweetontology.net/propCount                 , e4d20c0f3df03ab7777d55524c459934d246f37d06c4159c9eb69d9918ad45db
http://sweetontology.net/propDifference            , 86285ee5f4b647e5c50e6ac1f0390f802976575000bc6d84e59b971b7db9a9be
http://sweetontology.net/propDiffusivity           , e86def85f1cf799739c5ab95466a62bc884a240d9d72ac2f091ff6041edf39f3
http://sweetontology.net/propDimensionlessRatio    , 0d80aa627155d7d9f76478fb83cb2056acfa09c7ed168939e08dc03726cff925
http://sweetontology.net/propEnergy                , 7dc1af87209a4322c1b04750303e9a6ad6ca9ef169cfbb28fdc1342afac5b5ae
http://sweetontology.net/propEnergyFlux            , a2eebc4da2ee093d8b8aabea42dd40b5d20cfae4b7ecd45f5fa79ef804ad74cb
http://sweetontology.net/propFraction              , 49061f15b26d9f6b7e6bc0e4d0ff87af0074dba8d6d53ea31d2aa956a25cefe9
http://sweetontology.net/propFunction              , 85d976060547c4d91f0284de35e2afec1fd3e4e90eb5b5268a1db63fb25c2d81
http://sweetontology.net/propIndex                 , b94d59d7ed725ae10ba45b659fe7e2cabcf5f85be7a7e7127574a85b5c5cc00f
http://sweetontology.net/propMass                  , e93b43de1f4e7a627364ab116084e234142601f443bcfa09398ea4a30b9affc6
http://sweetontology.net/propMassFlux              , 8757c704d76aa824c1359ee08cf9373873171a157040c924d81bf4b7a4defe4c
http://sweetontology.net/propOrdinal               , 17c383d0823fbc51927fda10f92edcb848ef8697da442141c9e02085a4519439
http://sweetontology.net/propPressure              , cab1686060e456ccefafb9851f67988e9dfe0be0d966b0a511b46351ec1241f3
http://sweetontology.net/propQuantity              , 096fbc99da3658a38d544f4b23fc5dba65df07b39b8a5189a5830ae0d16d4a9e
http://sweetontology.net/propRotation              , fa348261a88aa35bf6ea16c02e378cd3172f2775ec2720c6c91e346511fd8901
http://sweetontology.net/propSpace                 , c89a9895964b65150940b6bd02a48b38a9a6f349d89c2b071352c35df89f1c86
